id,name,category,original_location,assignedTo
"KALIKE/TEDT/ECE/HP Laptop/2025-26/05 to 11","HP 240R G10 Notebook lntel@ CoreTM 5 120U (up to 5.0 GHz with lntel@ Turbo Boost Technology, 512 MB L3 cache, 10 cores, 12 threads) / 16 GB DDR4 RAM 512 GB PCle@ Gen4 NVMeTM M.2 SSD Intel@ Graphics / 14' diagonal, FHD (1920 x 1080), IPS, 720P HD camera Realtek Wifi 6 RTL8852BE-VT 802.11a/b/g/n/ax (2x2) and Btuetooth@ 5.4 Windows 11 Pro","Laptop","ECE","Unassigned"
"KALIKE/TEDT/ECE/HP Laptop/2025-26/12 to 16","HP 240R G10 Notebook lntel@ CoreTM 5 120U (up to 5.0 GHz with lntel@ Turbo Boost Technology, 512 MB L3 cache, 10 cores, 12 threads) / 16 GB DDR4 RAM 512 GB PCle@ Gen4 NVMeTM M.2 SSD Intel@ Graphics / 14' diagonal, FHD (1920 x 1080), IPS, 720P HD camera Realtek Wifi 6 RTL8852BE-VT 802.11a/b/g/n/ax (2x2) and Btuetooth@ 5.4 Windows 11 Pro","Laptop","ECE","Unassigned"
"KALIKE/TEDT/RELI/HP Laptop/2025-26/01 to 04","HP 240R G10 Notebook lntel@ CoreTM 5 120U (up to 5.0 GHz with lntel@ Turbo Boost Technology, 512 MB L3 cache, 10 cores, 12 threads) / 16 GB DDR4 RAM 512 GB PCle@ Gen4 NVMeTM M.2 SSD Intel@ Graphics / 14' diagonal, FHD (1920 x 1080), IPS, 720P HD camera Realtek Wifi 6 RTL8852BE-VT 802.11a/b/g/n/ax (2x2) and Btuetooth@ 5.4 Windows 11 Pro","Laptop","RELI","Unassigned"
"KALIKE/ICICI/WASH/HP Laptop/2025-26/17 to 19","HP 240R G10 Notebook lntel@ CoreTM 5 120U (up to 5.0 GHz with lntel@ Turbo Boost Technology, 512 MB L3 cache, 10 cores, 12 threads) / 16 GB DDR4 RAM 512 GB PCle@ Gen4 NVMeTM M.2 SSD Intel@ Graphics / 14' diagonal, FHD (1920 x 1080), IPS, 720P HD camera Realtek Wifi 6 RTL8852BE-VT 802.11a/b/g/n/ax (2x2) and Btuetooth@ 5.4 Windows 11 Pro","Laptop","ICICI","Unassigned"
"KALIKE/ICICI/WASH/Desktop/2025-26/01 to 02","HP Omni Desk Slim Desktop S03-0001 In intel @ Core TM i3-13100, 13th gen. (upto 4.5 GHz with Intel@ Turbo boost technology, 12 MB L3 Cache, 4 Cores 8threads) 16GB DDR5 Ram (8 GB x 2) 512 GB Pcle@ Gen 4 NVMe TM M.2 SSD Intel@ UHD Graphics Realtek Wi-fi ^ (2x2) and Bluetooth @ 5.4 HP wired keyboard and mouse, windows 11 Home microsoft office 2024","Desktop","ICICI","Unassigned"
